Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
The Hateful Eight,"['Richard N. Gladstein', 'Stacey Sher', 'Shannon McIntosh']",Robert Richardson,United States,187,2015-12-07,Quentin Tarantino,The Weinstein Company,English,Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins', 'Demián Bichir', 'Tim Roth', 'Michael Madsen', 'Bruce Dern', 'James Parks', 'Channing Tatum']",Fred Raskin,Ennio Morricone,"['The Weinstein Company', 'Shiny Penny', 'FilmColony', 'Double Feature Films', 'Visiona Romantica, Inc.']",,,44000000.0,156500000.0
The Revenant,"['Arnon Milchan', 'Steve Golin', 'Alejandro G. Iñárritu', 'Mary Parent', 'Keith Redmon', 'James W. Skotchdopole']",Emmanuel Lubezki,United States,156,2015-12-16,Alejandro G. Iñárritu,20th Century Fox,English,"['Mark L. Smith', 'Alejandro G. Iñárritu']","['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson', 'Will Poulter']",Stephen Mirrione,"['Ryuichi Sakamoto', 'Alva Noto']","['Regency Enterprises', 'RatPac Entertainment', 'New Regency', 'Anonymous Content', 'M Productions', 'Appian Way Productions']","['The Revenant', 'Michael Punke']",,135000000.0,533000000.0
Anomalisa,"['Rosa Tran', 'Duke Johnson', 'Charlie Kaufman', 'Dino Stamatopoulos']",Joe Passarelli,United States,90,2015-09-04,"['Charlie Kaufman', 'Duke Johnson']",Paramount Pictures,English,Charlie Kaufman,"['David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']",Garret Elkins,Carter Burwell,"['Paramount Animation', 'Starburns Industries']",Anomalisa by Charlie Kaufman,,8000000.0,5700000.0
The Forest,"['Tory Metzger', 'David S. Goyer', 'David Linde']",Mattias Troelstrup,United States,93,2016-01-08,Jason Zada,"['Gramercy Pictures', 'Focus Features']",English,"['Ben Ketai', 'Sarah Cornwell', 'Nick Antosca']","['Natalie Dormer', 'Taylor Kinney', 'Yukiyoshi Ozawa', 'Eoin Macken']",Jim Flynn,Bear McCreary,"['AI-Film', 'Lava Bear Films']",,,10000000.0,37600000.0
Anesthesia,"['Julie Buck', 'Josh Hetzler', 'John Molli', 'Tim Blake Nelson', 'Christopher J. Scott']",Christina Voros,United States,90,2015-04-22,Tim Blake Nelson,IFC Films,English,Tim Blake Nelson,"['Glenn Close', 'K. Todd Freeman', 'Jessica Hecht', 'Gretchen Mol', 'Tim Blake Nelson', 'Gloria Reuben', 'Kristen Stewart', 'Corey Stoll', 'Mickey Sumner', 'Yul Vazquez', 'Sam Waterston', 'Michael K. Williams']",Mako Kamitsuna,Jeff Danna,Nicholson International Pictures Hello Please Grand Schema Red Barn Films,,,,26799.0
Lamb,"['Mel Eslyn', 'Taylor Williams', 'Jennifer Lafleur']",Nathan M. Miller,United States,97,2015-03-14,Ross Partridge,The Orchard,English,Ross Partridge,"['Ross Partridge', 'Oona Laurence', 'Jess Weixler', 'Tom Bower']",Christopher Donlon,Daniel Belardinelli,"['The Shot Clock', 'Silent Helicopter']",Bonnie Nadzam,,,30844.0
Ride Along 2,"['Will Packer', 'Ice Cube', 'Matt Alvarez', 'Larry Brezner']",Mitchell Amundsen,United States,101,2016-01-06,Tim Story,Universal Pictures,English,"['Phil Hay', 'Matt Manfredi']","['Ice Cube', 'Kevin Hart', 'Ken Jeong', 'Benjamin Bratt', 'Olivia Munn', 'Bruce McGill', 'Tika Sumpter']",Peter S. Elliot,Christopher Lennertz,"['Will Packer Productions', 'Cube Vision']",Greg Coolidge,,40000000.0,124600000.0
13 Hours: The Secret Soldiers of Benghazi,"['Michael Bay', 'Erwin Stoff']",Dion Beebe,United States,144,2016-01-12,Michael Bay,Paramount Pictures,English,Chuck Hogan,"['James Badge Dale', 'John Krasinski', 'Max Martini']","['Pietro Scalia', 'Michael McCusker', 'Calvin Wimmer']",Lorne Balfe,"['3 Arts Entertainment', 'Bay Films']","['13 Hours', 'Mitchell Zuckoff']",,50000000.0,69400000.0
Norm of the North,"['Nicolas Atlan', 'Ken Katsumoto', 'Steve Rosen', 'Liz Young', 'Mike Young']",,United States,90,2016-01-15,Trevor Wall,Lionsgate,English,"['Daniel R. Altiere', 'Steven M. Altiere', 'Malcolm T. Goldman']","['Rob Schneider', 'Heather Graham', 'Ken Jeong', 'Colm Meaney', 'Loretta Devine', 'Gabriel Iglesias', 'Michael McElhatton', 'Bill Nighy']",Richard Finn,Stephen McKeon,"['Lionsgate', 'Splash Entertainment', 'Assemblage Entertainment', 'Telegael']",,,18000000.0,30500000.0
The Benefactor,"['Jason Michael Berman', 'Thomas B. Fore', 'Jay Schuminsky', 'Kevin Turen']",Joe Anderson,United States,93,2015-04-17,Andrew Renzi,Samuel Goldwyn Films,English,Andrew Renzi,"['Richard Gere', 'Dakota Fanning', 'Theo James', 'Clarke Peters', 'Brian Anthony Wilson', 'Dylan Baker', 'Cheryl Hines', 'Tibor Feldman']","['Dean C. Marcial', 'Matthew Rundell']","['Danny Bensi', 'Saunder Jurriaans']","['Audax Films', 'Big Shoes Media', 'Magnolia Entertainment', 'Soaring Flight Productions', 'TideRock Media', 'Treehouse Pictures']",,,,2100000.0
Dirty Grandpa,"['Barry Josephson', 'Bill Block', 'Michael Simkin', 'Jason Barrett']",Eric Alan Edwards,United States,102,2016-01-22,Dan Mazer,Lionsgate,English,John M. Phillips,"['Robert De Niro', 'Zac Efron', 'Aubrey Plaza', 'Zoey Deutch', 'Julianne Hough', 'Dermot Mulroney']",Anne McCabe,Michael Andrews,"['BillBlock Media', 'Josephson Entertainment', 'QED International']",,,11500000.0,105100000.0
The 5th Wave,"['Tobey Maguire', 'Graham King', 'Matthew Plouffe', 'Lynn Harris']",Enrique Chediak,United States,112,2016-01-22,J Blakeson,Sony Pictures Releasing,English,"['Susannah Grant', 'Akiva Goldsman', 'Jeff Pinkner']","['Chloë Grace Moretz', 'Nick Robinson', 'Ron Livingston', 'Maggie Siff', 'Alex Roe', 'Maria Bello', 'Maika Monroe', 'Liev Schreiber']",Paul Rubell,Henry Jackman,"['Columbia Pictures', 'LStar Capital', 'GK Films', 'Material Pictures', 'Living Films']","['The 5th Wave', 'Rick Yancey']",,38000000.0,109900000.0
The Boy,"['Matt Berenson', 'Jodyne Herron', 'Gary Lucchesi', 'Tom Rosenberg', 'Jim Wedaa']",Daniel Pearl,,97,2016-01-20,William Brent Bell,STX Entertainment,English,Stacey Menear,"['James Russell', 'Lauren Cohan', 'Rupert Evans', 'Jim Norton', 'Diana Hardcastle']",Brian Berdan,Bear McCreary,"['Lakeshore Entertainment', 'Huayi Brothers Pictures', 'Vertigo Entertainment', 'STXfilms']",,,10000000.0,64200000.0
Synchronicity,"['Christopher Alender', 'Alexander Motlagh']",Eric Maddison,United States,100,2015-07-22,Jacob Gentry,,English,Jacob Gentry,"['Chad McKnight', 'A. J. Bowen', 'Brianne Davis', 'Scott Poythress', 'Michael Ironside']",Jacob Gentry,Ben Lovett,"['POPfilms', 'Soapbox Films']",,,,
Kung Fu Panda 3,Melissa Cobb,,,95,2016-01-23,"['Jennifer Yuh Nelson', 'Alessandro Carloni']",20th Century Fox,English,Jonathan Aibel Glenn Berger,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie', 'J.K. Simmons', 'Seth Rogen', 'Lucy Liu', 'David Cross', 'Kate Hudson', 'James Hong', 'Randall Duk Kim', 'Jackie Chan']",Clare Knight,Hans Zimmer,"['DreamWorks Animation', 'China Film Group Corporation', 'Oriental DreamWorks', 'Zhong Ming You Ying Film']",,,145000000.0,521200000.00000006
The Finest Hours,"['Jim Whitaker', 'Dorothy Aufiero']",Javier Aguirresarobe,United States,117,2016-01-25,Craig Gillespie,Walt Disney Studios Motion Pictures,English,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']","['Chris Pine', 'Casey Affleck', 'Ben Foster', 'Holliday Grainger', 'John Ortiz', 'Eric Bana']",Tatiana S. Riegel,Carter Burwell,"['Walt Disney Pictures', 'Whitaker Entertainment', 'Red Hawk Entertainment']","['Michael J. Tougias', 'Casey Sherman']",,70000000.0,52100000.0
Fifty Shades of Black,"['Marlon Wayans', 'Rick Alvarez']",David Ortkiese,United States,92,2016-01-29,Michael Tiddes,Open Road Films,English,"['Marlon Wayans', 'Rick Alvarez']","['Marlon Wayans', 'Kali Hawk', 'Affion Crockett', 'Jane Seymour', 'Andrew Bachelor', 'Florence Henderson', 'Jenny Zigrino', 'Fred Willard', 'Mike Epps']",Lawrence Jordan,Jim Dooley,"['IM Global', 'Baby Way Productions']",,,5000000.0,22200000.0
